name,positions,company
นาย ครรชิต สิงห์สุวรรณ์,"ประธานกรรมการ,กรรมการอิสระ,กรรมการตรวจสอบ",2s
นาย สมบัติ ลีสวัสดิ์ตระกูล,"ประธานกรรมการบริหาร,กรรมการ",2s
นาย สุรพล สติมานนท์,"รองประธานกรรมการ,กรรมการอิสระ,ประธานกรรมการตรวจสอบ",2s
นาย แสงรุ้ง นิติภาวะชน,"กรรมการผู้จัดการ,กรรมการ",2s
น.ส. บุญศรี ปัญญาเปี่ยมศักดิ์,กรรมการ,2s
นาย ธนทัต ชวาลดิฐ,กรรมการ,2s
นาย ปรีดา วงศ์สถิตย์พร,กรรมการ,2s
นาง จินตนา เตชะมนตรีกุล,"กรรมการอิสระ,กรรมการตรวจสอบ",2s
พลเอก ไพรัช โพธิ์อุบล,กรรมการอิสระ,2s
นาย วรวิทย์ ชัยลิมปมนตรี,กรรมการอิสระ,2s
นาย มาซาโตะ โยชิดะ,ประธานกรรมการ,3k-bat
นาย อคิฮิโกะ เอโมริ,"ประธานเจ้าหน้าที่บริหาร,รองประธานกรรมการ",3k-bat
นาย มาซาคัทซึ ซูซูกิ,กรรมการ,3k-bat
นาย โยชิทากะ นิเบะ,กรรมการ,3k-bat
นาย ทาโมสึ ซากาตะ,กรรมการ,3k-bat
นาย ทาคาฮิโร่ โทมิยาม่า,กรรมการ,3k-bat
นาย นนทพล นิ่มสมบุญ,"กรรมการอิสระ,ประธานกรรมการตรวจสอบ",3k-bat
นาย สุชาติ จันลาวงศ์,"กรรมการอิสระ,กรรมการตรวจสอบ",3k-bat
นาย อภิชัย ชวเจริญพันธ์,"กรรมการอิสระ,กรรมการตรวจสอบ",3k-bat
พล.ต.อ. สมยศ พุ่มพันธุ์ม่วง,ประธานกรรมการ,7up
พล.ต.อ. มนู เมฆหมอก,"ประธานกรรมการบริหาร,กรรมการ",7up
นาย วุฒิชาติ กัลยาณมิตร,"ประธานเจ้าหน้าที่บริหาร,กรรมการ",7up
